University,Teams (Applied),Allocated Slots
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,3,2
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,7,2
Asian University of Bangladesh,2,0
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,6,1
BANGLADESH UNIVERSITY OF PROFESSIONALS,3,1
BGC Trust University Bangladesh,4,0
BGIFT Institute Of Science And Technology,1,0
BRAC UNIVERSITY,6,3
BUET,1,0
Bangladesh Agricultural University,1,0
Bangladesh Open University,1,0
Brahmanbaria Polytechnic Institute,1,0
CCN University of Science & Technology,1,0
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,12,4
CITY UNIVERSITY,1,1
COMILLA UNIVERSITY,9,3
Chandpur Science and Technology University,5,0
DAFFODIL INTERNATIONAL UNIVERSITY,6,2
DHAKA CITY COLLEGE,1,0
DHAKA INTERNATIONAL UNIVERSITY,3,1
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,6,1
EAST DELTA UNIVERSITY,3,1
EAST WEST UNIVERSITY,7,2
EASTERN UNIVERSITY OF BANGLADESH,2,1
FENI UNIVERSITY,3,1
Faridpur Engineering College,1,0
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),6,1
GREEN UNIVERSITY OF BANGLADESH,2,1
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,3,1
"INDEPENDENT UNIVERSITY, BANGLADESH",1,1
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,5,2
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,5,1
IOI,2,0
ISLAMIC UNIVERSITY,5,1
ISLAMIC UNIVERSITY OF TECHNOLOGY,6,4
Institute of Science Trade and Technology.,1,0
International Islami University of Science and Technology Bangladesh,1,0
JAGANNATH UNIVERSITY,12,1
JAHANGIRNAGAR UNIVERSITY,4,3
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,5,1
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,1,1
Jamalpur Science & Technology University,1,0
KHULNA UNIVERSITY,4,1
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,10,3
KISHOREGANJ UNIVERSITY,1,1
Khwaja Yunus Ali University,2,0
LEADING UNIVERSITY,4,1
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,7,2
METROPOLITAN UNIVERSITY,5,1
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,16,1
Manarat International University,1,0
Mohammadpur Government College,1,0
Mymensingh Engineering College,1,0
NETROKONA UNIVERSITY,3,1
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,6,1
NORTH SOUTH UNIVERSITY,3,2
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,1,1
NSTU,1,0
National Institute of Textile Engineering and Research,2,0
"National University, Bangladesh",1,0
Northern University Bangladesh,1,0
Notre Dame University Bangladesh,1,0
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,11,1
PREMIER UNIVERSITY,2,1
PRESIDENCY UNIVERSITY,4,1
PRIME UNIVERSITY,4,1
Pabna Engineering College,1,0
Pabna University of Science and Technology,2,0
"Pabna University of Science and Technology, Pabna",1,0
Port City International University,4,0
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,6,4
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,1,1
"Rangpur Polytechnic Insitute, Rangpur",1,0
Rawshan Ara Prodan,1,0
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,6,5
SOUTHEAST UNIVERSITY,1,1
SYLHET ENGINEERING COLLEGE,4,2
Shanto Mariam University of Creative Technology,1,0
Shanto-Mariam University of Creative Technology,1,0
Sonargaon University,1,0
Sylhet International University,3,0
"Tejgaon College, Dhaka",1,0
UNITED INTERNATIONAL UNIVERSITY,5,1
UNIVERSITY OF ASIA PACIFIC,10,1
UNIVERSITY OF BARISAL,5,1
UNIVERSITY OF CHITTAGONG,4,2
UNIVERSITY OF DHAKA,8,5
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,6,1
UNIVERSITY OF RAJSHAHI,8,2
UTTARA UNIVERSITY,3,1
University Of Scholars,4,0
"University of Frontier Technology, Bangladesh",2,0
University of Liberal Arts Bangladesh,1,0
University of Science and Technology Chittagong,2,0
VARENDRA UNIVERSITY,1,1
Z.H. Sikder University of Science & Technology,1,0
gggg,1,0
